CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Finland,346000000.0,6011700.0,112986734.87,5543828.0,8077.0,335.0,35.01608163265304,46.06934693877546,36.464734693877595,35.137102040816366,43.775510204081634,639098.0,115.346,4788.0,5540718.0,18.136,42.8,13.264000000000001,40585.721,0.0,0.0,3.28,81.91
France,709275922528.0,1311754455.0,4409436000.0,544911500.0,277943.0,30606.0,51.074612244898084,53.281387755102244,52.63963265306116,51.43130612244904,59.285714285714285,0.0,0.0,136.981,65273512.0,122.57799999999999,42.0,13.079,38605.671,0.0,0.0,5.98,82.66
Gabon,415000000.0,0.0,2000000.0,0.0,8505.0,53.0,51.914115226337564,57.039300411522504,53.925925925925895,54.13411522633742,52.77777777777778,0.0,0.0,0.0,2225728.0,7.859,23.1,2.9760000000000004,16562.413,3.4,0.0,6.3,66.47
Gambia,21300000.0,0.0,9826500.0,0.0,2963.0,96.0,49.684180327868816,56.70540983606557,41.863442622950856,49.47643442622966,0.0,0.0,0.0,0.0,2416664.0,207.56599999999997,17.5,1.4169999999999998,1561.767,10.1,7.876,1.1,62.05
Georgia,1090441288.0,0.0,156630000.0,0.0,1487.0,19.0,56.64106557377058,62.391721311475465,51.79778688524606,57.58176229508185,19.979508196721312,0.0,0.0,0.0,3989175.0,65.032,38.7,10.244000000000002,9745.079,4.2,0.0,2.6,73.77
Germany,68442949672.71,2023000000.0,62997723800.0,812000000.0,242381.0,9298.0,47.312122448979686,51.226285714285865,48.751183673469434,51.19722448979596,35.30612244897959,11208091.0,133.774,218.93400000000003,83783945.0,237.016,46.6,15.957,45229.245,0.0,0.0,8.0,81.33
Ghana,106551726.0,0.0,100000000.0,0.0,44205.0,276.0,41.76659836065575,47.340286885245725,42.259713114754156,46.77540983606569,17.418032786885245,442185.0,14.231,164.035,31072945.0,126.719,21.1,1.9480000000000002,4227.63,12.0,41.047,0.9,64.07
Gibraltar,0.0,0.0,0.0,0.0,285.0,0.0,41.446931216931176,48.71179894179889,61.574811320754854,64.18622047244098,,0.0,0.0,0.0,33691.0,3457.1,0.0,0.0,0.0,0.0,0.0,0.0,79.93
Greece,4118246200.0,0.0,2681004.0,3242505.0,10134.0,262.0,45.69320833333335,52.29125000000002,44.403291666666654,45.213041666666655,39.947916666666664,940882.0,90.26899999999999,703.306,10423056.0,83.479,45.3,14.524000000000001,24574.382,1.5,0.0,4.21,82.24
Greenland,23674995.0,0.0,298569.72,0.0,14.0,0.0,34.720612244897964,40.39428571428564,36.872285714285674,38.98257142857143,25.255102040816325,0.0,0.0,0.0,56772.0,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,71.7
